freejoint_x,freejoint_y,freejoint_z,freejoint_rw,freejoint_rx,freejoint_ry,freejoint_rz,headr_w,headr_x,headr_y,headr_z,lclaviclery,lclaviclerz,lfemurr_w,lfemurr_x,lfemurr_y,lfemurr_z,lfootrx,lfootrz,lhumerusr_w,lhumerusr_x,lhumerusr_y,lhumerusr_z,lowerbackr_w,lowerbackr_x,lowerbackr_y,lowerbackr_z,lowerneckr_w,lowerneckr_x,lowerneckr_y,lowerneckr_z,lradiusrx,ltibiarx,ltoesrx,rclaviclery,rclaviclerz,rfemurr_w,rfemurr_x,rfemurr_y,rfemurr_z,rfootrx,rfootrz,rhumerusr_w,rhumerusr_x,rhumerusr_y,rhumerusr_z,rradiusrx,rtibiarx,rtoesrx,thoraxr_w,thoraxr_x,thoraxr_y,thoraxr_z,upperbackry,upperbackrz,upperneckr_w,upperneckr_x,upperneckr_y,upperneckr_z
0.2681521,6.149934,0.8850873,-0.9967215,0.01114293,0.04723975,0.06473415,0.9995906,0.00119785,-0.02602101,0.01183627,0.02894913,-0.3075144,0.9623995,-0.260956,0.05284853,0.05381584,-0.26082,0.00551629,0.8029581,-0.4300309,-0.1905556,0.3660879,0.9988401,-0.02996638,-0.00129582,0.03766678,0.9984816,0.008397076,-0.01228571,0.0530377,0.5417614,0.2471603,-0.07286649,0.009283633,0.313393,0.987343,0.1431512,0.01170891,0.0672641,-0.1392549,0.05087098,0.8653421,-0.1851609,0.07863817,-0.4590364,0.8466055,0.5773726,-0.5802113,0.9971423,0.003200234,0.06958724,-0.02923501,0.0433585,0.02449896,0.9998121,-0.006137367,0.01833704,0.001327607
0.2679882,6.16014,0.8858918,-0.9965889,0.01250855,0.04978942,0.06461509,0.9995938,-0.000964689,-0.02579696,0.01207854,0.03020854,-0.307081,0.9639891,-0.2550171,0.05145605,0.05516931,-0.24575,0.01204689,0.8032961,-0.4295946,-0.189232,0.3665447,0.9987589,-0.03218248,-3.405004E-05,0.03801391,0.9985129,0.008921055,-0.01252242,0.052302,0.5442234,0.2470507,-0.06595443,0.008778726,0.3135132,0.9879774,0.1372452,0.01297529,0.06997208,-0.09846097,0.04572539,0.8645027,-0.192294,0.08405356,-0.4567198,0.8547471,0.6067602,-0.5652457,0.9971848,0.001745036,0.06919946,-0.02882718,0.04188004,0.02684302,0.9997945,-0.006380609,0.01909664,0.002369707
0.2679022,6.170111,0.8868278,-0.9965221,0.01362013,0.05158329,0.06400988,0.999595,-0.001745444,-0.02566037,0.01217704,0.03081665,-0.306842,0.9653628,-0.2499421,0.04985384,0.05584109,-0.2303997,0.01757414,0.803879,-0.4288323,-0.1877761,0.3669081,0.9987174,-0.03374593,0.0009550183,0.03773486,0.9985412,0.009035498,-0.01267454,0.05170333,0.5470901,0.2493046,-0.05980874,0.008121068,0.3140692,0.9886582,0.1309999,0.01401202,0.07209393,-0.05473783,0.0404112,0.8635679,-0.199291,0.08938315,-0.4544714,0.8620215,0.636279,-0.5480818,0.9972339,0.0002376312,0.06867035,-0.02844128,0.04050653,0.02825592,0.9997746,-0.00697227,0.01975549,0.003452517
0.2678587,6.179905,0.8878413,-0.9965098,0.01505835,0.05279399,0.06288306,0.9995933,-0.003904857,-0.02530473,0.012553,0.03104026,-0.3069773,0.9664317,-0.2462351,0.04734186,0.05600637,-0.2132338,0.02336976,0.8047171,-0.427365,-0.1865072,0.3674297,0.9986813,-0.03543815,0.002072104,0.03708829,0.9985723,0.009253758,-0.01287333,0.05100894,0.549364,0.2538512,-0.05365258,0.007792085,0.3143204,0.989432,0.1238504,0.01512002,0.07387058,-0.009529416,0.03550774,0.8624319,-0.2064909,0.09452296,-0.4523695,0.8675017,0.6657239,-0.525554,0.9973153,-0.001275012,0.06773029,-0.02780716,0.03875736,0.0286583,0.9997551,-0.007202785,0.02046334,0.004370738
0.2678493,6.189474,0.8889187,-0.9965551,0.01614806,0.05327944,0.06146824,0.9995911,-0.004619697,-0.02520677,0.01269096,0.03041575,-0.3072226,0.9673778,-0.243089,0.04484293,0.05547138,-0.1986102,0.02818751,0.8057544,-0.4256935,-0.1851315,0.3677924,0.998684,-0.03646626,0.003028153,0.03593558,0.9986051,0.009249583,-0.01293822,0.05034776,0.5517532,0.2607161,-0.04827531,0.007319172,0.3146891,0.9901929,0.1167256,0.01623447,0.07503049,0.03759584,0.03076055,0.8611588,-0.213481,0.09951586,-0.4504752,0.8718687,0.6940115,-0.500299,0.9973927,-0.002744588,0.06672347,-0.02735358,0.0371563,0.02846581,0.9997317,-0.007776236,0.02115512,0.005339108
0.2678521,6.198903,0.8899732,-0.9966512,0.01766356,0.05319903,0.0595345,0.9995862,-0.006526588,-0.0247532,0.01311887,0.0296094,-0.3077092,0.9680373,-0.2412823,0.04165244,0.05432988,-0.1834977,0.0326307,0.8069987,-0.4233497,-0.1840125,0.3683307,0.9986809,-0.03778378,0.003932271,0.03454517,0.9986425,0.009306234,-0.01299889,0.04957431,0.5534499,0.2698273,-0.04263305,0.0068662,0.31442,0.9909958,0.1090639,0.01717273,0.07574559,0.08343894,0.02681025,0.8596834,-0.2203868,0.1040638,-0.4489375,0.874211,0.720661,-0.4709378,0.9975008,-0.0041612,0.06532662,-0.02659635,0.0353336,0.0272126,0.9997128,-0.007817628,0.02184453,0.006005184
0.2678514,6.208119,0.8910105,-0.9967884,0.0188285,0.05253793,0.05742922,0.9995816,-0.007090589,-0.0247042,0.013267,0.02808462,-0.3081909,0.9686297,-0.2398022,0.03854087,0.05259347,-0.1709362,0.03609774,0.8084101,-0.4208967,-0.1827749,0.3686629,0.9987106,-0.03844619,0.004736787,0.03281,0.9986836,0.009274109,-0.01291132,0.04876732,0.5551786,0.2807235,-0.03776823,0.00622773,0.3141028,0.9917423,0.1017166,0.01820104,0.07595807,0.1262658,0.02309736,0.8581109,-0.2269973,0.1083933,-0.4476257,0.8756813,0.7451304,-0.4397742,0.9975997,-0.00554619,0.06389711,-0.02610308,0.03361258,0.02571165,0.9996885,-0.008192692,0.02258787,0.006753588
0.2678073,6.217209,0.891986,-0.9969467,0.02026904,0.0516866,0.05490857,0.9995745,-0.008715585,-0.0242391,0.0136871,0.02664945,-0.3088595,0.9690129,-0.2392456,0.03488152,0.0505855,-0.1571054,0.03887505,0.8099983,-0.4178661,-0.181712,0.3691496,0.9987282,-0.03924947,0.005464057,0.03117241,0.9987291,0.009341939,-0.0127395,0.0478608,0.5564859,0.2931644,-0.03283959,0.005634931,0.3131897,0.992478,0.09414103,0.01883999,0.07596015,0.1570904,0.01953419,0.8564395,-0.2333681,0.1122045,-0.4466104,0.8752331,0.767735,-0.4071987,0.9977163,-0.006847169,0.06217667,-0.02548156,0.03152183,0.02375059,0.9996719,-0.008078857,0.02323135,0.007144223
0.2677224,6.226109,0.8929398,-0.997118,0.02127838,0.05061704,0.05235343,0.9995679,-0.009144247,-0.02426726,0.01383481,0.02471271,-0.3096137,0.9693947,-0.2386494,0.03134692,0.04834927,-0.1451507,0.04076942,0.8117187,-0.4147439,-0.1804848,0.3694936,0.9987715,-0.03936445,0.00612615,0.02946694,0.9987796,0.009377624,-0.01245536,0.04686467,0.5575857,0.3065924,-0.02867195,0.004968591,0.3122235,0.9931386,0.08690248,0.01961818,0.07575586,0.1793987,0.01626237,0.8547714,-0.2393833,0.1157922,-0.4457057,0.8740584,0.7873291,-0.3747883,0.9978243,-0.008077275,0.06043183,-0.02508662,0.02956233,0.02196394,0.9996489,-0.008239868,0.02400424,0.007615997
0.2675793,6.234864,0.8938812,-0.9972919,0.02227991,0.04952751,0.04959376,0.9995583,-0.01051077,-0.02388133,0.0142242,0.02303985,-0.3105116,0.9697002,-0.2383447,0.02744529,0.04604385,-0.1335662,0.04224326,0.8135752,-0.4110717,-0.1792944,0.3700933,0.9988133,-0.03936084,0.006791995,0.02786629,0.9988316,0.009586272,-0.01201466,0.04581697,0.5580858,0.3206029,-0.02471712,0.004572093,0.3109881,0.9937795,0.07952797,0.01988931,0.07537902,0.1887098,0.01303878,0.8531322,-0.2450592,0.1189284,-0.4449353,0.870804,0.8041772,-0.3433407,0.9979382,-0.009186742,0.05852346,-0.02469797,0.0270878,0.02036459,0.9996358,-0.008042467,0.02456921,0.007737416
0.2674002,6.243413,0.894868,-0.9974696,0.022773,0.04825227,0.04698453,0.9995492,-0.0108533,-0.02401247,0.01438816,0.02099398,-0.3115352,0.9700837,-0.2376338,0.02382749,0.04359077,-0.126101,0.0435186,0.8155224,-0.4072499,-0.1778842,0.3707128,0.9988821,-0.03864991,0.00740941,0.02618963,0.9988871,0.009780644,-0.01152568,0.04467627,0.5578375,0.3347771,-0.02145137,0.004323478,0.3099253,0.9943784,0.07222984,0.02024189,0.07473123,0.1924627,0.009929397,0.851583,-0.250353,0.1218829,-0.4441557,0.8667346,0.8184483,-0.3128404,0.9980461,-0.01018194,0.05660477,-0.02441852,0.02491555,0.01894078,0.9996152,-0.008041427,0.02533055,0.007949426
0.2671793,6.251789,0.8959208,-0.99765,0.02313576,0.04694143,0.04422375,0.9995366,-0.01195502,-0.02376064,0.01480334,0.01923776,-0.3126255,0.9704611,-0.2368882,0.02006886,0.04106605,-0.1223563,0.04500546,0.8175575,-0.4029261,-0.1764279,0.3716496,0.9989533,-0.037745,0.008035923,0.0245568,0.998942,0.01013803,-0.01080512,0.04353723,0.5570132,0.3489515,-0.01857316,0.004544703,0.3089382,0.9949776,0.06465571,0.01981421,0.07380136,0.186765,0.006037941,0.8501158,-0.2552587,0.1244511,-0.4434614,0.8605314,0.8310502,-0.2840647,0.998156,-0.01098913,0.05456566,-0.02421828,0.02209543,0.01784231,0.9996061,-0.007752399,0.02580714,0.007839851
0.2669181,6.259984,0.8970633,-0.9978201,0.0231226,0.04558847,0.0417369,0.9995242,-0.01225176,-0.02400436,0.01500443,0.01713023,-0.3137647,0.9709466,-0.2355721,0.016779,0.03855987,-0.1215947,0.04625158,0.8196093,-0.3984966,-0.1747576,0.3726939,0.999035,-0.03638306,0.008627722,0.02304043,0.9989987,0.0105398,-0.01010522,0.04228874,0.5552624,0.362239,-0.01618273,0.005052742,0.3082002,0.9955449,0.05679471,0.01943476,0.0727115,0.1790243,0.002343702,0.8487425,-0.259846,0.1269118,-0.4427297,0.8536502,0.8428162,-0.2560222,0.9982611,-0.01162501,0.05252671,-0.02409543,0.01966572,0.01685064,0.9995887,-0.007578923,0.02652505,0.007831256
0.2666259,6.268054,0.8982684,-0.9979942,0.02292575,0.04426453,0.03902066,0.9995086,-0.01304562,-0.02392702,0.0154867,0.0152997,-0.3147676,0.9714909,-0.2339355,0.01353708,0.03600486,-0.1232877,0.04718615,0.8216467,-0.3937103,-0.1730537,0.3740873,0.9991145,-0.03490613,0.00911825,0.02164719,0.9990548,0.01099133,-0.009147475,0.04104853,0.5530198,0.3746957,-0.01407489,0.005906401,0.3074718,0.9960902,0.04879022,0.01806588,0.07139636,0.1653053,-0.002571762,0.847425,-0.2639932,0.1289993,-0.4421965,0.8449233,0.8547935,-0.2300182,0.9983717,-0.0119718,0.0503334,-0.02402638,0.01660312,0.01609423,0.9995828,-0.007089131,0.02697748,0.007499095
0.2663081,6.276005,0.8995588,-0.9981601,0.02243881,0.04292224,0.03647795,0.9994927,-0.01330185,-0.02428525,0.01573642,0.01314506,-0.3156734,0.9721625,-0.2316586,0.01070727,0.03346094,-0.1268842,0.0477735,0.8236382,-0.3889015,-0.1711839,0.3755952,0.9991961,-0.03318397,0.009534176,0.0203716,0.9991105,0.01157726,-0.008256632,0.0396992,0.5497792,0.3857263,-0.01230258,0.006946203,0.3069571,0.9965826,0.04056326,0.01671208,0.06998879,0.1519757,-0.007138498,0.8461765,-0.2678915,0.1310257,-0.4416466,0.8358431,0.8679854,-0.2043196,0.9984794,-0.01214791,0.04811428,-0.02400717,0.01383841,0.01543959,0.9995684,-0.006684612,0.02766202,0.007287495
0.2659873,6.283915,0.9008885,-0.9983369,0.02173391,0.04152087,0.03357318,0.9994742,-0.01382784,-0.0244227,0.01623469,0.01112185,-0.3162132,0.9729337,-0.2288861,0.008137733,0.03074064,-0.1320765,0.04743009,0.8255176,-0.3838915,-0.1693642,0.3774437,0.9992744,-0.03145445,0.009723266,0.01914901,0.9991644,0.01207864,-0.007191841,0.03837879,0.5460415,0.3954917,-0.01060379,0.007893963,0.3064093,0.997021,0.03262469,0.01458735,0.06835271,0.1348386,-0.01280751,0.8449779,-0.2712429,0.1326768,-0.441403,0.825226,0.8822501,-0.1813136,0.9985937,-0.01196778,0.04574238,-0.0239774,0.01055532,0.01478003,0.9995625,-0.005948583,0.02817079,0.006765518
